"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene3683",14,19,10,15
"Gene3684",10,11,10,28
"Gene3685",24,8,22,6
"Gene3686",19,15,11,4
"Gene3687",16,8,11,9
"Gene3688",9,15,16,8
"Gene3689",13,26,25,9
"Gene3690",17,17,31,11
"Gene3691",10,6,14,30
"Gene3692",11,11,15,24
"Gene3693",9,12,8,12
"Gene3694",11,24,8,9
"Gene3695",5,11,13,16
"Gene3696",14,7,8,4
"Gene3697",15,2,13,35
"Gene3698",2,6,6,11
"Gene3699",19,4,17,16
"Gene3700",9,2,7,18
"Gene3701",5,19,6,14
"Gene3702",25,10,10,18
"Gene3703",13,13,9,6
"Gene3704",10,7,3,21
"Gene3705",11,12,5,11
"Gene3706",8,7,13,7
"Gene3707",11,10,16,10
"Gene3708",17,12,15,14
"Gene3709",17,11,9,5
"Gene3710",16,6,17,7
"Gene3711",30,19,10,11
"Gene3712",13,15,13,15
"Gene3713",12,35,9,11
"Gene3714",7,10,10,5
"Gene3715",9,10,7,20
"Gene3716",10,17,12,2
"Gene3717",10,6,4,7
"Gene3718",11,12,16,7
"Gene3719",8,22,8,17
"Gene3720",7,13,14,16
"Gene3721",5,20,11,8
"Gene3722",13,16,13,9
"Gene3723",5,17,22,7
"Gene3724",11,7,9,8
"Gene3725",12,7,9,10
"Gene3726",3,8,21,9
"Gene3727",12,1,14,23
"Gene3728",5,6,21,17
"Gene3729",14,13,13,12
"Gene3730",15,11,9,17
"Gene3731",13,13,12,7
"Gene3732",9,8,13,6
"Gene3733",4,27,14,10
"Gene3734",7,6,19,6
"Gene3735",20,5,6,16
"Gene3736",4,18,7,5
"Gene3737",15,21,6,10
"Gene3738",8,19,30,10
"Gene3739",17,15,8,15
"Gene3740",12,19,8,12
"Gene3741",21,13,12,21
"Gene3742",18,11,14,13
"Gene3743",14,11,13,28
"Gene3744",6,9,12,8
"Gene3745",20,3,5,16
"Gene3746",25,10,6,10
"Gene3747",12,14,10,14
"Gene3748",9,15,11,16
"Gene3749",9,25,7,17
"Gene3750",18,25,6,11
"Gene3751",10,17,14,8
"Gene3752",25,5,33,9
"Gene3753",8,13,21,12
"Gene3754",13,19,4,15
"Gene3755",17,15,6,6
"Gene3756",7,17,4,23
"Gene3757",15,10,16,11
"Gene3758",8,16,9,15
"Gene3759",12,13,10,6
"Gene3760",13,37,16,12
"Gene3761",18,6,4,7
"Gene3762",14,14,13,25
"Gene3763",20,10,6,4
"Gene3764",11,18,10,10
"Gene3765",11,18,20,9
"Gene3766",25,16,25,11
"Gene3767",7,26,17,13
"Gene3768",8,8,20,15
"Gene3769",13,5,8,8
"Gene3770",6,13,10,11
"Gene3771",9,11,9,15
"Gene3772",13,12,13,14
"Gene3773",17,12,9,13
"Gene3774",7,23,12,9
"Gene3775",13,12,6,9
"Gene3776",11,10,4,22
"Gene3777",12,9,8,9
"Gene3778",9,12,18,14
"Gene3779",18,17,3,16
"Gene3780",15,7,34,15
"Gene3781",5,13,18,12
"Gene3782",17,19,9,17
"Gene3783",9,8,25,8
"Gene3784",13,10,4,8
"Gene3785",15,12,16,11
"Gene3786",5,11,11,16
"Gene3787",11,13,12,6
"Gene3788",12,11,13,29
"Gene3789",11,12,12,15
"Gene3790",28,17,13,23
"Gene3791",10,16,4,21
"Gene3792",6,13,8,15
"Gene3793",9,7,16,12
"Gene3794",12,9,9,7
"Gene3795",7,9,8,2
"Gene3796",20,24,9,17
"Gene3797",14,7,16,13
"Gene3798",13,11,10,8
"Gene3799",12,13,7,17
"Gene3800",19,16,8,10
"Gene3801",7,5,24,10
"Gene3802",8,10,10,17
"Gene3803",9,9,18,5
"Gene3804",14,17,12,22
"Gene3805",9,9,10,15
"Gene3806",27,5,7,9
"Gene3807",15,11,16,10
"Gene3808",23,3,2,6
"Gene3809",15,10,4,12
"Gene3810",4,13,10,12
"Gene3811",12,4,13,20
"Gene3812",15,4,13,9
"Gene3813",12,8,11,4
"Gene3814",7,16,12,11
"Gene3815",11,13,11,15
"Gene3816",18,13,10,10
"Gene3817",7,12,18,16
"Gene3818",4,17,14,9
"Gene3819",7,11,20,6
"Gene3820",14,14,9,17
"Gene3821",3,16,24,22
"Gene3822",22,15,10,11
"Gene3823",10,16,6,24
"Gene3824",13,8,11,12
"Gene3825",7,15,9,12
"Gene3826",15,11,21,9
"Gene3827",11,10,18,4
"Gene3828",11,14,32,20
"Gene3829",23,18,14,5
"Gene3830",6,7,9,10
"Gene3831",7,4,13,5
"Gene3832",11,8,3,14
"Gene3833",16,15,17,18
"Gene3834",9,17,7,12
"Gene3835",8,11,11,15
"Gene3836",15,9,11,20
"Gene3837",9,11,12,11
"Gene3838",15,17,16,20
"Gene3839",14,19,20,17
"Gene3840",13,7,13,5
"Gene3841",22,18,12,12
"Gene3842",12,3,11,10
"Gene3843",12,20,17,20
"Gene3844",34,10,10,16
"Gene3845",14,8,13,8
"Gene3846",12,13,11,7
"Gene3847",8,12,22,13
"Gene3848",13,6,13,6
"Gene3849",7,5,18,14
"Gene3850",19,5,5,8
"Gene3851",31,21,4,4
"Gene3852",8,12,12,7
"Gene3853",3,16,18,15
"Gene3854",6,9,12,8
"Gene3855",17,10,13,22
"Gene3856",12,17,10,6
"Gene3857",13,10,13,13
"Gene3858",17,19,15,21
"Gene3859",17,12,21,15
"Gene3860",13,17,17,21
"Gene3861",11,17,11,11
"Gene3862",16,6,15,10
"Gene3863",13,6,10,12
"Gene3864",7,9,5,18
"Gene3865",7,7,15,18
"Gene3866",7,22,13,9
"Gene3867",12,3,6,12
"Gene3868",9,19,27,10
"Gene3869",13,16,14,19
"Gene3870",6,11,12,23
"Gene3871",17,7,10,19
"Gene3872",11,27,4,13
"Gene3873",10,11,7,10
"Gene3874",7,8,8,16
"Gene3875",0,21,15,16
"Gene3876",15,6,8,9
"Gene3877",25,10,14,14
"Gene3878",11,17,7,20
"Gene3879",13,21,7,19
"Gene3880",5,9,15,8
"Gene3881",10,9,19,10
"Gene3882",19,18,4,16
"Gene3883",12,26,9,7
"Gene3884",19,12,8,15
"Gene3885",9,17,7,20
"Gene3886",6,14,24,18
"Gene3887",12,11,5,14
"Gene3888",12,8,17,5
"Gene3889",14,15,17,8
"Gene3890",14,16,17,8
"Gene3891",10,15,9,14
"Gene3892",25,12,13,12
"Gene3893",6,17,18,21
"Gene3894",14,14,24,20
"Gene3895",18,23,5,14
"Gene3896",7,26,9,6
"Gene3897",4,11,24,10
"Gene3898",13,18,9,14
"Gene3899",22,9,12,15
"Gene3900",20,20,5,13
"Gene3901",10,12,6,14
"Gene3902",24,4,4,12
"Gene3903",23,5,3,21
"Gene3904",15,5,5,4
"Gene3905",18,10,16,1
"Gene3906",10,14,5,12
"Gene3907",5,15,9,21
"Gene3908",18,7,11,10
"Gene3909",15,14,10,9
"Gene3910",6,9,6,11
"Gene3911",24,13,25,2
"Gene3912",15,28,9,16
"Gene3913",6,8,5,7
"Gene3914",8,11,33,12
"Gene3915",16,23,18,17
"Gene3916",12,16,26,13
"Gene3917",11,23,13,21
"Gene3918",11,17,11,8
"Gene3919",19,13,12,6
"Gene3920",6,11,24,14
"Gene3921",14,11,18,23
"Gene3922",17,11,12,6
"Gene3923",18,13,30,36
"Gene3924",15,8,26,14
"Gene3925",5,14,12,13
"Gene3926",7,11,7,7
"Gene3927",12,8,18,4
"Gene3928",13,11,8,6
"Gene3929",14,29,6,8
"Gene3930",17,13,13,4
"Gene3931",9,12,18,27
"Gene3932",22,9,6,20
"Gene3933",11,9,13,15
"Gene3934",7,8,13,11
"Gene3935",13,10,7,16
"Gene3936",11,15,15,13
"Gene3937",10,18,8,15
"Gene3938",16,9,12,10
"Gene3939",14,18,10,8
"Gene3940",12,6,5,7
"Gene3941",13,8,10,8
"Gene3942",14,7,11,5
"Gene3943",15,9,12,10
"Gene3944",11,9,12,10
"Gene3945",16,17,7,11
"Gene3946",10,6,3,11
"Gene3947",11,17,5,7
"Gene3948",6,8,6,17
"Gene3949",6,18,9,17
"Gene3950",21,24,11,19
"Gene3951",11,8,21,5
"Gene3952",16,21,20,22
"Gene3953",6,19,6,9
"Gene3954",6,12,11,6
"Gene3955",7,11,8,24
"Gene3956",5,16,10,13
"Gene3957",7,19,12,6
"Gene3958",9,12,11,6
"Gene3959",9,7,13,9
"Gene3960",15,12,9,9
"Gene3961",13,14,6,17
"Gene3962",8,4,19,10
"Gene3963",7,10,9,14
"Gene3964",20,9,18,15
"Gene3965",7,25,6,10
"Gene3966",6,16,20,3
"Gene3967",6,10,9,2
"Gene3968",23,13,11,10
"Gene3969",12,27,8,16
"Gene3970",14,12,10,12
"Gene3971",4,23,9,14
"Gene3972",7,24,23,12
"Gene3973",12,16,7,16
"Gene3974",22,11,7,5
"Gene3975",17,22,20,13
"Gene3976",10,13,23,5
"Gene3977",22,8,11,26
"Gene3978",9,21,12,16
"Gene3979",11,9,23,17
"Gene3980",13,14,14,19
"Gene3981",13,12,22,3
"Gene3982",14,6,8,6
"Gene3983",10,15,10,10
"Gene3984",6,15,11,13
"Gene3985",18,7,14,9
"Gene3986",9,8,17,15
"Gene3987",16,13,5,29
"Gene3988",12,23,11,12
"Gene3989",17,12,10,17
"Gene3990",12,14,5,17
"Gene3991",19,9,13,16
"Gene3992",11,16,20,6
"Gene3993",16,12,9,19
"Gene3994",26,4,2,20
"Gene3995",8,10,10,12
"Gene3996",12,26,20,7
"Gene3997",17,17,7,9
"Gene3998",12,10,9,9
"Gene3999",8,23,23,20
"Gene4000",15,20,10,12
"Gene4001",22,11,11,13
"Gene4002",15,12,8,21
"Gene4003",6,22,12,14
"Gene4004",9,16,6,5
"Gene4005",15,23,8,8
"Gene4006",9,13,11,21
"Gene4007",3,24,20,11
"Gene4008",19,7,14,9
"Gene4009",20,6,17,5
"Gene4010",28,24,11,13
"Gene4011",16,14,10,12
"Gene4012",18,15,19,13
"Gene4013",11,10,25,12
"Gene4014",12,10,12,6
"Gene4015",17,13,12,8
"Gene4016",14,21,14,8
"Gene4017",13,9,15,10
"Gene4018",3,18,5,13
"Gene4019",17,10,12,9
"Gene4020",18,21,8,15
"Gene4021",7,13,10,12
"Gene4022",14,19,15,11
"Gene4023",13,8,7,9
"Gene4024",6,10,18,12
"Gene4025",10,12,12,8
"Gene4026",19,20,12,8
"Gene4027",4,9,7,27
"Gene4028",8,22,4,9
"Gene4029",15,17,9,4
"Gene4030",6,10,15,9
"Gene4031",11,11,28,7
"Gene4032",22,16,18,27
"Gene4033",3,15,20,6
"Gene4034",11,7,13,12
"Gene4035",7,7,15,17
"Gene4036",6,5,12,10
"Gene4037",10,31,8,11
"Gene4038",22,21,11,5
"Gene4039",8,21,6,9
"Gene4040",26,8,14,18
"Gene4041",8,29,11,8
"Gene4042",11,15,24,9
"Gene4043",9,7,4,24
"Gene4044",15,26,9,9
"Gene4045",7,7,17,15
"Gene4046",26,15,10,6
"Gene4047",13,15,9,14
"Gene4048",16,11,8,18
"Gene4049",3,12,7,9
"Gene4050",17,12,25,9
"Gene4051",11,21,8,9
"Gene4052",13,10,10,5
"Gene4053",41,18,21,5
"Gene4054",21,16,2,14
"Gene4055",12,13,10,11
"Gene4056",18,4,6,13
"Gene4057",11,4,10,12
"Gene4058",14,9,19,16
"Gene4059",20,8,8,25
"Gene4060",8,8,12,8
"Gene4061",8,12,9,10
"Gene4062",15,14,9,7
"Gene4063",11,16,7,34
"Gene4064",8,15,10,9
"Gene4065",11,7,8,23
"Gene4066",16,9,9,9
"Gene4067",11,13,21,19
"Gene4068",16,5,18,8
"Gene4069",20,8,11,4
"Gene4070",15,11,6,6
"Gene4071",24,6,17,17
"Gene4072",13,16,11,7
"Gene4073",6,8,5,12
"Gene4074",10,8,9,10
"Gene4075",11,11,15,7
"Gene4076",4,5,8,17
"Gene4077",12,16,17,17
"Gene4078",3,7,32,25
"Gene4079",24,10,19,11
"Gene4080",7,21,5,18
"Gene4081",12,24,13,8
"Gene4082",14,11,9,15
"Gene4083",24,5,33,9
"Gene4084",17,10,13,9
"Gene4085",11,16,5,7
"Gene4086",16,14,13,13
"Gene4087",13,16,7,8
"Gene4088",13,7,17,11
"Gene4089",10,9,9,18
"Gene4090",10,22,19,19
"Gene4091",12,12,10,12
"Gene4092",13,14,16,23
"Gene4093",10,7,20,8
"Gene4094",9,12,15,10
"Gene4095",24,3,14,9
"Gene4096",8,13,21,14
"Gene4097",10,19,13,12
"Gene4098",17,25,25,10
"Gene4099",9,18,19,19
"Gene4100",9,7,9,12
"Gene4101",7,13,5,16
"Gene4102",23,11,12,11
"Gene4103",8,10,3,11
"Gene4104",13,10,10,5
"Gene4105",15,17,14,15
"Gene4106",11,6,14,12
"Gene4107",19,18,14,14
"Gene4108",15,12,10,20
"Gene4109",6,29,17,11
"Gene4110",23,4,25,24
"Gene4111",8,10,11,11
"Gene4112",10,13,14,16
"Gene4113",9,13,8,10
"Gene4114",27,12,16,6
"Gene4115",19,17,19,10
"Gene4116",8,11,10,17
"Gene4117",8,10,14,9
"Gene4118",11,13,8,4
"Gene4119",14,23,15,24
"Gene4120",17,12,6,11
"Gene4121",14,9,13,12
"Gene4122",24,23,5,14
"Gene4123",21,14,21,13
"Gene4124",9,11,9,19
"Gene4125",8,5,16,26
"Gene4126",18,7,6,9
"Gene4127",21,17,11,17
"Gene4128",11,24,11,14
"Gene4129",10,15,8,21
"Gene4130",11,13,6,16
"Gene4131",12,18,7,9
"Gene4132",10,11,23,35
"Gene4133",24,17,11,18
"Gene4134",15,7,15,14
"Gene4135",25,7,12,25
"Gene4136",18,16,14,12
"Gene4137",19,11,5,16
"Gene4138",16,15,9,18
"Gene4139",9,10,8,3
"Gene4140",4,20,8,16
"Gene4141",6,21,9,17
"Gene4142",16,21,9,14
"Gene4143",21,18,9,11
"Gene4144",18,12,15,10
"Gene4145",10,13,13,11
"Gene4146",10,15,3,23
"Gene4147",6,11,22,21
"Gene4148",15,6,25,6
"Gene4149",19,9,5,7
"Gene4150",7,6,16,34
"Gene4151",11,26,11,8
"Gene4152",12,24,14,4
"Gene4153",17,5,12,5
"Gene4154",9,8,16,16
"Gene4155",15,19,1,23
"Gene4156",8,8,12,14
"Gene4157",18,9,8,10
"Gene4158",12,23,19,6
"Gene4159",13,10,18,18
"Gene4160",17,18,13,10
"Gene4161",18,19,6,12
"Gene4162",9,26,19,5
"Gene4163",15,14,7,10
"Gene4164",7,14,9,14
"Gene4165",12,14,12,13
"Gene4166",27,9,5,19
"Gene4167",7,21,14,7
"Gene4168",21,16,13,14
"Gene4169",27,18,14,7
"Gene4170",5,13,15,9
"Gene4171",7,27,18,10
"Gene4172",9,27,12,9
"Gene4173",6,8,5,30
"Gene4174",7,12,8,6
"Gene4175",11,21,12,11
"Gene4176",12,13,12,15
"Gene4177",10,10,6,5
"Gene4178",2,19,12,8
"Gene4179",29,22,14,14
"Gene4180",6,11,18,9
"Gene4181",14,11,20,9
"Gene4182",9,24,3,13
"Gene4183",7,11,13,20
"Gene4184",23,16,17,21
"Gene4185",14,8,16,20
"Gene4186",10,14,6,17
"Gene4187",7,11,19,13
"Gene4188",4,15,13,8
"Gene4189",3,13,20,15
"Gene4190",10,5,13,16
"Gene4191",10,14,5,15
"Gene4192",15,7,20,13
"Gene4193",10,13,11,15
"Gene4194",20,14,11,14
"Gene4195",15,9,5,9
"Gene4196",5,19,23,12
"Gene4197",15,13,5,13
"Gene4198",22,5,7,2
"Gene4199",8,7,13,29
"Gene4200",9,6,10,8
"Gene4201",13,22,10,5
"Gene4202",25,31,12,4
"Gene4203",7,13,14,8
"Gene4204",16,8,9,13
"Gene4205",13,8,7,20
"Gene4206",11,15,6,12
"Gene4207",8,14,19,15
"Gene4208",13,17,5,9
"Gene4209",9,19,11,16
"Gene4210",15,6,11,14
"Gene4211",5,7,11,10
"Gene4212",11,13,14,14
"Gene4213",7,8,13,16
"Gene4214",12,7,12,8
"Gene4215",12,14,12,11
"Gene4216",22,15,10,6
"Gene4217",11,16,12,6
"Gene4218",11,11,18,16
"Gene4219",16,9,12,8
"Gene4220",8,17,10,16
"Gene4221",7,18,7,8
"Gene4222",10,14,10,26
"Gene4223",16,15,9,12
"Gene4224",15,3,8,19
"Gene4225",12,15,15,9
"Gene4226",5,22,17,11
"Gene4227",5,14,18,16
"Gene4228",11,9,7,26
"Gene4229",10,9,10,25
"Gene4230",20,18,14,9
"Gene4231",17,11,10,18
"Gene4232",4,7,15,9
"Gene4233",4,19,15,8
"Gene4234",7,12,17,14
"Gene4235",4,3,5,5
"Gene4236",14,10,4,13
"Gene4237",8,18,14,15
"Gene4238",16,7,8,12
"Gene4239",9,6,12,6
"Gene4240",13,4,23,28
"Gene4241",6,11,8,21
"Gene4242",15,15,8,22
"Gene4243",11,17,18,14
"Gene4244",13,11,10,14
"Gene4245",19,11,14,12
"Gene4246",18,17,22,7
"Gene4247",18,11,10,11
"Gene4248",3,6,10,15
"Gene4249",14,10,6,28
"Gene4250",16,9,18,5
"Gene4251",6,22,9,16
"Gene4252",3,16,10,11
"Gene4253",17,10,7,8
"Gene4254",9,21,11,9
"Gene4255",9,8,8,6
"Gene4256",15,18,20,18
"Gene4257",14,9,16,11
"Gene4258",8,5,15,13
"Gene4259",7,17,15,12
"Gene4260",20,13,15,12
"Gene4261",20,12,20,19
"Gene4262",10,6,11,10
"Gene4263",2,14,24,22
"Gene4264",21,9,11,14
"Gene4265",11,15,9,15
"Gene4266",19,13,16,11
"Gene4267",6,31,11,16
"Gene4268",8,22,19,10
"Gene4269",18,7,16,8
"Gene4270",18,9,10,7
"Gene4271",9,8,14,11
"Gene4272",7,10,14,12
"Gene4273",6,9,16,20
"Gene4274",25,14,10,12
"Gene4275",9,10,12,15
"Gene4276",5,5,5,10
"Gene4277",10,32,17,11
"Gene4278",4,5,17,4
"Gene4279",18,17,19,13
"Gene4280",20,5,14,12
"Gene4281",17,7,19,14
"Gene4282",9,8,7,14
"Gene4283",5,10,8,4
"Gene4284",2,5,14,7
"Gene4285",6,12,21,5
"Gene4286",12,15,8,12
"Gene4287",18,9,18,13
"Gene4288",14,7,15,22
"Gene4289",6,6,9,12
"Gene4290",13,21,15,2
"Gene4291",6,15,10,9
"Gene4292",9,8,6,7
"Gene4293",12,13,5,12
"Gene4294",10,21,21,17
"Gene4295",10,7,14,11
"Gene4296",14,16,12,15
"Gene4297",11,5,11,6
"Gene4298",21,22,9,10
"Gene4299",8,10,15,12
"Gene4300",13,12,16,17
"Gene4301",13,16,25,7
"Gene4302",3,11,16,10
"Gene4303",15,14,28,11
"Gene4304",13,15,18,18
"Gene4305",14,17,11,6
"Gene4306",4,12,14,17
"Gene4307",4,24,16,7
"Gene4308",6,18,22,32
"Gene4309",12,14,12,20
"Gene4310",8,12,18,18
"Gene4311",27,12,12,9
"Gene4312",17,12,7,20
"Gene4313",11,9,7,17
"Gene4314",13,4,10,18
"Gene4315",6,11,19,14
"Gene4316",17,6,6,16
"Gene4317",15,6,22,7
"Gene4318",10,18,11,18
"Gene4319",15,8,8,6
"Gene4320",7,37,9,8
"Gene4321",21,5,16,15
"Gene4322",14,13,18,12
"Gene4323",7,15,11,17
"Gene4324",14,16,14,5
"Gene4325",11,9,8,6
"Gene4326",18,11,15,12
"Gene4327",11,17,13,16
"Gene4328",9,8,18,13
"Gene4329",15,13,15,8
"Gene4330",20,18,25,10
"Gene4331",11,17,17,13
"Gene4332",12,11,13,6
"Gene4333",13,7,10,7
"Gene4334",26,12,17,18
"Gene4335",10,25,24,14
"Gene4336",7,3,31,16
"Gene4337",11,6,17,23
"Gene4338",11,5,12,21
"Gene4339",18,14,7,19
"Gene4340",12,16,10,7
"Gene4341",11,17,29,12
"Gene4342",9,22,11,10
"Gene4343",19,27,13,8
"Gene4344",9,22,17,6
"Gene4345",19,16,31,11
"Gene4346",7,4,21,22
"Gene4347",17,12,12,7
"Gene4348",15,16,11,15
"Gene4349",15,11,15,12
"Gene4350",15,7,22,23
"Gene4351",17,29,7,2
"Gene4352",14,6,9,8
"Gene4353",17,23,10,16
"Gene4354",26,13,18,12
"Gene4355",13,13,10,10
"Gene4356",10,14,10,22
"Gene4357",16,21,9,9
"Gene4358",19,12,8,15
"Gene4359",11,14,9,22
"Gene4360",10,13,9,12
"Gene4361",10,17,9,13
"Gene4362",14,15,22,18
"Gene4363",18,10,21,9
"Gene4364",11,6,6,23
"Gene4365",7,9,4,26
"Gene4366",3,17,16,11
"Gene4367",5,9,5,14
"Gene4368",11,5,9,7
"Gene4369",16,7,6,8
"Gene4370",8,5,18,11
"Gene4371",26,27,15,17
"Gene4372",7,18,9,19
"Gene4373",6,11,9,14
"Gene4374",11,6,8,8
"Gene4375",12,11,20,20
"Gene4376",11,14,15,11
"Gene4377",22,17,13,16
"Gene4378",11,8,26,7
"Gene4379",14,21,5,11
"Gene4380",11,8,6,5
"Gene4381",16,17,9,23
"Gene4382",7,20,13,10
"Gene4383",5,15,9,17
"Gene4384",2,10,11,7
"Gene4385",22,6,8,11
"Gene4386",24,8,16,15
"Gene4387",11,14,15,10
"Gene4388",18,6,13,14
"Gene4389",4,10,9,6
"Gene4390",14,7,11,14
"Gene4391",7,13,9,13
"Gene4392",8,13,13,18
"Gene4393",18,16,7,20
"Gene4394",10,15,18,10
"Gene4395",27,15,12,19
"Gene4396",7,26,8,4
"Gene4397",11,5,14,9
"Gene4398",11,10,4,16
"Gene4399",10,6,8,14
"Gene4400",24,26,9,17
"Gene4401",16,17,23,7
"Gene4402",13,24,15,6
"Gene4403",12,23,6,12
"Gene4404",13,6,18,9
"Gene4405",10,17,14,3
"Gene4406",11,5,11,2
"Gene4407",17,7,14,10
"Gene4408",16,13,16,9
"Gene4409",22,12,9,16
"Gene4410",8,10,9,9
"Gene4411",12,6,15,10
"Gene4412",11,19,14,11
"Gene4413",19,26,6,21
"Gene4414",10,8,12,33
"Gene4415",23,14,6,10
"Gene4416",16,6,14,33
"Gene4417",22,6,7,13
"Gene4418",11,3,16,7
"Gene4419",8,17,13,6
"Gene4420",18,11,13,11
"Gene4421",12,13,15,14
"Gene4422",11,15,8,17
"Gene4423",14,6,16,9
"Gene4424",11,19,19,21
"Gene4425",6,21,13,13
"Gene4426",8,7,8,5
"Gene4427",9,17,5,24
"Gene4428",6,22,6,18
"Gene4429",16,7,9,19
"Gene4430",22,14,11,7
"Gene4431",29,8,15,13
"Gene4432",20,16,8,8
"Gene4433",5,18,11,11
"Gene4434",10,20,5,12
"Gene4435",11,19,24,4
"Gene4436",14,10,7,4
"Gene4437",10,9,16,13
"Gene4438",20,7,9,10
"Gene4439",13,9,6,12
"Gene4440",11,11,10,14
"Gene4441",18,16,20,5
"Gene4442",9,6,14,10
"Gene4443",15,2,17,25
"Gene4444",19,7,30,13
"Gene4445",17,6,11,11
"Gene4446",9,6,17,16
"Gene4447",14,25,18,8
"Gene4448",12,12,25,12
"Gene4449",6,13,14,15
"Gene4450",6,10,14,10
"Gene4451",24,15,7,6
"Gene4452",11,18,22,21
"Gene4453",10,6,11,10
"Gene4454",13,21,10,16
"Gene4455",21,10,28,12
"Gene4456",12,14,11,7
"Gene4457",12,11,12,11
"Gene4458",13,10,6,11
"Gene4459",16,14,11,14
"Gene4460",13,11,19,7
"Gene4461",15,17,9,14
"Gene4462",12,12,17,14
"Gene4463",9,19,15,6
"Gene4464",12,10,14,17
"Gene4465",16,10,9,7
"Gene4466",16,4,8,22
"Gene4467",13,4,24,20
"Gene4468",14,7,6,14
"Gene4469",4,14,20,15
"Gene4470",29,19,20,18
"Gene4471",3,7,8,2
"Gene4472",5,9,14,15
"Gene4473",14,27,8,10
"Gene4474",7,5,11,16
"Gene4475",18,22,13,16
"Gene4476",17,20,15,12
"Gene4477",20,4,11,6
"Gene4478",12,7,16,13
"Gene4479",21,18,6,12
"Gene4480",6,12,7,16
"Gene4481",18,14,13,15
"Gene4482",14,13,9,20
"Gene4483",21,13,12,15
"Gene4484",7,8,8,8
"Gene4485",21,11,9,9
"Gene4486",20,27,12,10
"Gene4487",16,31,28,18
"Gene4488",7,20,10,16
"Gene4489",4,4,10,10
"Gene4490",6,3,12,13
"Gene4491",9,12,8,3
"Gene4492",6,7,18,15
"Gene4493",5,12,9,5
"Gene4494",8,22,18,13
"Gene4495",10,12,10,26
"Gene4496",17,9,11,12
"Gene4497",7,27,23,15
"Gene4498",13,5,10,11
"Gene4499",11,19,14,9
"Gene4500",8,9,6,12
"Gene4501",11,9,7,16
"Gene4502",14,13,16,14
"Gene4503",13,26,13,18
"Gene4504",21,13,14,12
"Gene4505",12,24,10,8
"Gene4506",10,17,16,7
"Gene4507",15,9,4,15
"Gene4508",14,11,17,23
"Gene4509",21,22,13,15
"Gene4510",20,17,21,7
"Gene4511",7,7,9,31
"Gene4512",6,5,9,21
"Gene4513",9,12,14,18
"Gene4514",5,14,10,12
"Gene4515",12,11,9,12
"Gene4516",5,25,16,23
"Gene4517",13,7,6,23
"Gene4518",6,16,9,7
"Gene4519",10,10,14,18
"Gene4520",11,15,39,7
"Gene4521",14,6,24,17
"Gene4522",23,13,4,5
"Gene4523",9,8,18,11
"Gene4524",31,30,11,21
"Gene4525",4,12,5,9
"Gene4526",3,7,10,23
"Gene4527",31,3,21,9
"Gene4528",4,10,11,17
"Gene4529",5,6,14,9
"Gene4530",17,6,10,28
"Gene4531",6,14,13,11
"Gene4532",18,16,10,8
"Gene4533",11,26,20,17
"Gene4534",8,28,11,16
"Gene4535",17,2,5,14
"Gene4536",12,21,7,16
"Gene4537",4,13,10,18
"Gene4538",12,8,11,14
"Gene4539",17,9,11,13
"Gene4540",13,14,22,14
"Gene4541",7,7,13,7
"Gene4542",18,9,6,8
"Gene4543",11,25,10,19
"Gene4544",29,12,8,6
"Gene4545",17,8,15,12
"Gene4546",11,9,11,15
"Gene4547",9,6,18,6
"Gene4548",6,4,10,17
"Gene4549",16,12,21,10
"Gene4550",27,15,9,11
"Gene4551",25,5,10,29
"Gene4552",17,21,1,14
"Gene4553",6,18,6,4
"Gene4554",11,8,12,14
"Gene4555",10,10,6,7
"Gene4556",11,18,7,8
"Gene4557",12,16,16,16
"Gene4558",18,5,19,21
"Gene4559",11,12,8,10
"Gene4560",6,15,11,14
"Gene4561",5,16,9,13
"Gene4562",11,11,8,5
"Gene4563",14,6,3,9
"Gene4564",16,22,6,6
"Gene4565",21,10,10,7
"Gene4566",10,11,8,20
"Gene4567",15,9,17,8
"Gene4568",18,14,10,11
"Gene4569",10,8,12,11
"Gene4570",9,21,20,13
"Gene4571",17,8,19,10
"Gene4572",11,13,9,7
"Gene4573",28,10,21,10
"Gene4574",26,11,5,10
"Gene4575",16,11,17,14
"Gene4576",12,13,10,15
"Gene4577",8,24,18,18
"Gene4578",4,14,12,13
"Gene4579",21,15,23,18
"Gene4580",9,9,8,6
"Gene4581",16,14,15,30
"Gene4582",9,9,12,25
"Gene4583",10,15,6,19
"Gene4584",12,10,6,21
"Gene4585",8,20,11,10
"Gene4586",5,10,10,17
"Gene4587",9,4,22,11
"Gene4588",8,6,5,11
"Gene4589",19,9,2,15
"Gene4590",20,5,21,11
"Gene4591",16,14,11,8
"Gene4592",11,15,12,14
"Gene4593",7,13,9,12
"Gene4594",2,13,6,12
"Gene4595",7,2,20,16
"Gene4596",7,4,11,10
"Gene4597",4,5,15,11
"Gene4598",6,12,9,12
"Gene4599",17,5,6,8
"Gene4600",7,11,20,17
"Gene4601",24,11,16,20
"Gene4602",12,21,16,12
"Gene4603",10,14,27,12
"Gene4604",8,4,11,4
"Gene4605",3,21,8,14
"Gene4606",16,12,19,8
"Gene4607",17,10,15,11
"Gene4608",7,13,18,14
"Gene4609",5,17,9,11
"Gene4610",16,5,8,5
"Gene4611",9,7,14,4
"Gene4612",29,13,7,4
"Gene4613",9,11,12,7
